source_alias_group_id,source_alias_group_status,source_alias_group_epistemic_status,source_records,source_families
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOA08,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOA09,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOR05,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOR06,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOR07,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::CALCOR08,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::IMBERA07,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::IMBERR07,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::OLGMOA04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::OLGMOA05,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::OLGMOA06,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::OLGMOR04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::OLGMOR05,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::OLGMOR06,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::PERE_A01,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::PERE_R01,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::ROVAGA01,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::ROVAGA03,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::ROVAGA04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::ROVAGAR4,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::ROVAGR01,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::ROVAGR03,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::SAMAHA01,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::SAMAHA03,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::SAMAHA04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::SAMAHR01,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::SAMAHR03,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::ASF_OPERATOR_OTP::SAMAHR04,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,ASF_OPERATOR_OTP
SAG_SINGLE::FROZEN_GTFS_REFERENCE::100005,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300063,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300207,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300397,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300405,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300407,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300501,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300634,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300638,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300743,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300746,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300805,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300863,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300871,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300878,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300903,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300908,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::300956,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00063,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00207,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00397,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00405,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00407,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00504,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00638,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00746,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00871,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00878,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00904,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::FROZEN_GTFS_REFERENCE::L00956,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,FROZEN_GTFS_REFERENCE
SAG_SINGLE::SPECIAL_SERVICE_EVIDENCE::NAVETTA_MANDIC_MANZONI_001,SOURCE_SINGLETON_NO_ALIAS_DECISION,FACT_SOURCE_RECORD_SINGLETON,1,SPECIAL_SERVICE_EVIDENCE
